stat_id,partida_id,team_id,jogador_id,numero,posicao,titular,minutos,rating,capitao,chutes_total,chutes_no_gol,gols,gols_sofridos,assistencias,defesas,passes_total,passes_chave,precisao_passes,desarmes_total,bloqueios,interceptacoes,duelos_total,duelos_ganhos,dribles_tentados,dribles_sucesso,faltas_sofridas,faltas_cometidas,cartao_amarelo,cartao_vermelho,penalti_convertido,penalti_perdido
1,1180355,119,50077,1,G,True,90.0,7,False,,,,1,,3.0,18.0,,12,,,,1.0,1.0,,,1.0,,0,0,0,0
2,1180355,119,6080,16,D,True,90.0,7.2,False,1.0,,,0,,,61.0,1.0,51,3.0,,1.0,9.0,7.0,1.0,1.0,,2.0,1,0,0,0
3,1180355,119,9909,44,D,True,90.0,7,False,1.0,,,0,,,89.0,,80,2.0,1.0,3.0,10.0,4.0,,,1.0,3.0,0,0,0,0
4,1180355,119,452,5,D,True,90.0,7.9,False,1.0,1.0,1.0,0,,,77.0,1.0,70,2.0,,1.0,6.0,5.0,,,,2.0,1,0,0,0
5,1180355,119,10163,6,D,True,90.0,7.2,True,1.0,1.0,,0,,,47.0,1.0,40,2.0,,1.0,9.0,7.0,,,2.0,,0,0,0,0
6,1180355,119,106485,27,M,True,83.0,7.2,False,2.0,1.0,,0,,,27.0,4.0,22,2.0,,1.0,8.0,3.0,,,1.0,1.0,1,0,0,0
7,1180355,119,22231,29,M,True,45.0,7,False,1.0,1.0,,0,,,36.0,,34,1.0,,1.0,3.0,2.0,1.0,1.0,,,0,0,0,0
8,1180355,119,143368,15,M,True,45.0,7,False,,,,0,,,39.0,1.0,32,4.0,,1.0,14.0,8.0,,,2.0,3.0,0,0,0,0
9,1180355,119,2083,11,M,True,76.0,7,False,,,,0,,,17.0,1.0,11,1.0,,,8.0,5.0,3.0,2.0,2.0,2.0,0,0,0,0
10,1180355,119,6011,19,F,True,90.0,7,False,6.0,4.0,,0,,,16.0,1.0,13,2.0,,,16.0,8.0,1.0,,,5.0,0,0,0,0
11,1180355,119,354012,45,F,True,45.0,6.6,False,,,,0,,,9.0,1.0,7,1.0,,,10.0,5.0,1.0,,2.0,1.0,0,0,0,0
12,1180355,119,2044,25,D,False,45.0,6.9,False,,,,0,,,30.0,,28,1.0,,2.0,4.0,4.0,,,1.0,,1,0,0,0
13,1180355,119,9921,8,M,False,45.0,7.2,False,1.0,,,0,1.0,,21.0,1.0,21,1.0,1.0,,6.0,3.0,,,,,0,0,0,0
14,1180355,119,70314,21,F,False,45.0,7.9,False,1.0,1.0,1.0,0,,,22.0,1.0,16,2.0,,,7.0,6.0,1.0,1.0,1.0,1.0,0,0,0,0
15,1180355,119,982,31,F,False,14.0,6.7,False,,,,0,,,3.0,,2,,,,3.0,1.0,,,,1.0,1,0,0,0
16,1180355,119,415051,47,M,False,14.0,6.3,False,,,,0,,,1.0,,1,1.0,,,4.0,3.0,3.0,2.0,,,0,0,0,0
17,1180355,119,306552,24,G,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
18,1180355,119,129902,26,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
19,1180355,119,161925,3,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
20,1180355,119,47432,2,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
21,1180355,119,415049,34,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
22,1180355,119,238562,41,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
23,1180355,119,133196,40,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
24,1180355,118,10298,22,G,True,90.0,7.3,False,,,,2,,7.0,32.0,,22,,,,,,,,,,0,0,0,0
25,1180355,118,30,13,D,True,90.0,6.9,False,,,,0,,,52.0,2.0,43,2.0,2.0,,12.0,5.0,1.0,,2.0,2.0,0,0,0,0
26,1180355,118,10059,4,D,True,90.0,6.3,False,,,,0,,,53.0,,39,,,1.0,11.0,5.0,,,2.0,1.0,0,0,0,0
27,1180355,118,10377,15,D,True,90.0,6.3,False,,,,0,,,44.0,,40,1.0,,,8.0,3.0,,,2.0,2.0,0,0,0,0
28,1180355,118,197383,46,D,True,90.0,6.3,False,,,,0,,,47.0,1.0,40,,,4.0,11.0,2.0,3.0,,1.0,,0,0,0,0
29,1180355,118,10168,10,M,True,80.0,6.9,True,1.0,,,0,,,48.0,1.0,44,,,2.0,9.0,3.0,1.0,,2.0,1.0,0,0,0,0
30,1180355,118,157359,5,M,True,90.0,7,False,,,,0,,,48.0,,44,7.0,,1.0,12.0,9.0,,,2.0,,0,0,0,0
31,1180355,118,180236,19,M,True,64.0,6.7,False,,,,0,,,45.0,,42,,,,12.0,4.0,,,4.0,1.0,0,0,0,0
32,1180355,118,9994,6,M,True,90.0,7.2,False,1.0,1.0,,0,1.0,,31.0,1.0,25,,,1.0,16.0,7.0,9.0,7.0,,2.0,1,0,0,0
33,1180355,118,10492,16,F,True,80.0,6.3,False,1.0,1.0,,0,,,18.0,,12,,,,10.0,2.0,,,1.0,2.0,0,0,0,0
34,1180355,118,63968,29,F,True,45.0,6.3,False,1.0,,,0,,,9.0,,5,,,,5.0,1.0,1.0,,,,0,0,0,0
35,1180355,118,25272,8,M,False,45.0,6.3,False,1.0,1.0,,0,,,20.0,,17,,,,4.0,1.0,2.0,1.0,,,0,0,0,0
36,1180355,118,305817,11,F,False,26.0,7.5,False,1.0,1.0,1.0,0,,,8.0,1.0,5,,,,3.0,2.0,,,2.0,,0,0,0,0
37,1180355,118,2173,14,M,False,10.0,6.3,False,,,,0,,,9.0,,6,,,,3.0,2.0,,,2.0,1.0,1,0,0,0
38,1180355,118,10222,9,F,False,10.0,6.3,False,1.0,,,0,,,3.0,,2,,,,2.0,,1.0,,,1.0,1,0,0,0
39,1180355,118,160546,23,G,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
40,1180355,118,353728,3,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
41,1180355,118,1057,40,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
42,1180355,118,10351,33,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
43,1180355,118,10305,2,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
44,1180355,118,10348,20,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
45,1180355,118,61159,21,F,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
46,1180355,118,9854,7,F,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
47,1180364,140,9410,25,G,True,90.0,6.6,False,,,,1,,3.0,31.0,,21,,,,,,,,,,0,0,0,0
48,1180364,140,135136,27,D,True,78.0,6.9,False,,,,0,,,48.0,1.0,42,3.0,,4.0,8.0,4.0,2.0,1.0,,,0,0,0,0
49,1180364,140,9484,3,D,True,90.0,6.9,True,,,,0,,,72.0,,60,1.0,,2.0,6.0,5.0,,,1.0,,0,0,0,0
50,1180364,140,9347,33,D,True,90.0,6.5,False,,,,0,,,41.0,,34,1.0,,1.0,2.0,1.0,,,,,0,0,0,0
51,1180364,140,10340,22,D,True,90.0,6.3,False,1.0,,,0,1.0,,39.0,1.0,23,1.0,,2.0,8.0,2.0,1.0,,,,0,0,0,0
52,1180364,140,80624,7,M,True,86.0,6.9,False,1.0,1.0,,0,,,24.0,1.0,18,,1.0,,17.0,7.0,,,7.0,3.0,1,0,0,0
53,1180364,140,9461,88,M,True,90.0,6.9,False,,,,0,,,36.0,,32,2.0,2.0,,12.0,5.0,1.0,,2.0,3.0,0,0,0,0
54,1180364,140,9212,5,M,True,90.0,6.9,False,,,,0,,,43.0,,39,1.0,1.0,1.0,10.0,5.0,2.0,1.0,,,0,0,0,0
55,1180364,140,10096,10,M,True,78.0,7.2,False,1.0,1.0,,0,,,23.0,1.0,21,,,1.0,13.0,6.0,7.0,5.0,1.0,1.0,1,0,0,0
56,1180364,140,9726,79,F,True,86.0,7.2,False,2.0,1.0,1.0,0,,,15.0,1.0,10,,,,9.0,5.0,1.0,,2.0,,0,0,0,0
57,1180364,140,12795,23,F,True,58.0,6.6,False,1.0,,,0,,,15.0,,12,1.0,,,8.0,4.0,,,2.0,2.0,0,0,0,0
58,1180364,140,1432,11,F,False,32.0,6.6,False,,,,0,,,5.0,2.0,4,,,,9.0,4.0,5.0,3.0,,2.0,1,0,0,0
59,1180364,140,13292,19,M,False,12.0,6.6,False,,,,0,,,10.0,1.0,8,2.0,,,2.0,2.0,,,,,0,0,0,0
60,1180364,140,9849,17,M,False,12.0,6.6,False,1.0,,,0,,,7.0,,7,,,,4.0,2.0,2.0,2.0,,,0,0,0,0
61,1180364,140,2424,14,D,False,11.0,6.7,False,,,,0,,,8.0,,4,1.0,,,2.0,1.0,1.0,,,,1,0,0,0
62,1180364,140,10039,35,F,False,11.0,6.6,False,,,,0,,,6.0,,5,,,,2.0,1.0,1.0,1.0,,,0,0,0,0
63,1180364,140,9904,32,G,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
64,1180364,140,454628,41,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
65,1180364,140,305029,26,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
66,1180364,140,301265,73,F,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
67,1180364,140,371579,15,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
68,1180364,140,311795,30,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
69,1180364,140,197074,21,F,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
70,1180364,152,31384,1,G,True,90.0,7.2,False,,,,1,,2.0,16.0,,14,,,,1.0,1.0,,,1.0,,1,0,0,0
71,1180364,152,70368,2,D,True,90.0,7.6,False,,,,0,,,49.0,3.0,40,3.0,1.0,1.0,11.0,8.0,4.0,4.0,1.0,1.0,1,0,0,0
72,1180364,152,77843,34,D,True,90.0,6.9,False,,,,0,,,46.0,,42,2.0,1.0,,7.0,4.0,,,,1.0,1,0,0,0
73,1180364,152,66899,3,D,True,90.0,6.7,False,1.0,,,0,,,57.0,,39,1.0,1.0,1.0,8.0,5.0,,,1.0,1.0,1,0,0,0
74,1180364,152,195428,12,D,True,90.0,6.3,False,,,,0,,,55.0,,47,1.0,,,19.0,9.0,9.0,6.0,,4.0,0,0,0,0
75,1180364,152,279811,21,M,True,72.0,7.2,False,3.0,,,0,,,33.0,1.0,24,3.0,,,14.0,7.0,3.0,1.0,,,0,0,0,0
76,1180364,152,10091,16,M,True,90.0,7.7,False,1.0,1.0,,0,1.0,,53.0,4.0,47,2.0,,2.0,9.0,4.0,2.0,1.0,1.0,2.0,0,0,0,0
77,1180364,152,159653,95,M,True,73.0,7.2,False,,,,0,,,53.0,,48,5.0,,,10.0,7.0,,,2.0,2.0,1,0,0,0
78,1180364,152,9970,10,M,True,61.0,6.9,True,1.0,1.0,,0,,,25.0,1.0,17,,,1.0,6.0,2.0,4.0,2.0,,1.0,0,0,0,0
79,1180364,152,77799,20,F,True,90.0,7.7,False,1.0,1.0,1.0,0,,,33.0,2.0,24,2.0,,1.0,9.0,4.0,,,1.0,2.0,1,0,0,0
80,1180364,152,10041,9,F,True,18.0,6.3,False,1.0,,,0,,,3.0,,2,,,,,,,,,,0,0,0,0
81,1180364,152,146018,7,F,False,72.0,6.6,False,1.0,,,0,,,15.0,1.0,14,,,,7.0,1.0,2.0,1.0,,,0,0,0,0
82,1180364,152,278337,11,F,False,29.0,6.9,False,2.0,1.0,,0,,,8.0,,7,,,,3.0,2.0,1.0,1.0,,,0,0,0,0
83,1180364,152,266719,37,F,False,18.0,6.7,False,,,,0,,,9.0,,7,,,1.0,2.0,1.0,,,1.0,,0,0,0,0
84,1180364,152,63984,8,M,False,17.0,6.7,False,,,,0,,,9.0,,6,1.0,,,6.0,3.0,1.0,1.0,1.0,1.0,0,0,0,0
85,1180364,152,197050,77,G,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
86,1180364,152,401470,36,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
87,1180364,152,406569,23,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
88,1180364,152,402109,22,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
89,1180364,152,286962,43,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
90,1180364,152,237674,44,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
91,1180364,152,384398,29,F,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
92,1180364,152,195118,75,F,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
93,1180358,124,10080,1,G,True,90.0,7.6,False,,,,2,,6.0,26.0,,22,,,,,,,,,,0,0,0,0
94,1180358,124,10267,2,D,True,58.0,7,False,2.0,1.0,,0,,,32.0,1.0,29,2.0,,,5.0,4.0,,,,,0,0,0,0
95,1180358,124,9929,30,D,True,58.0,6.6,True,1.0,,,0,,,34.0,,27,,,1.0,10.0,8.0,,,2.0,1.0,0,0,0,0
96,1180358,124,280245,8,D,True,90.0,6.7,False,1.0,,,0,,,53.0,1.0,46,,,,7.0,4.0,,,1.0,,0,0,0,0
97,1180358,124,743,12,D,True,90.0,6.9,False,2.0,,,0,,,45.0,2.0,40,1.0,,1.0,5.0,1.0,,,,1.0,0,0,0,0
98,1180358,124,265784,7,M,True,90.0,7,False,,,,0,,,69.0,,63,,,1.0,13.0,7.0,5.0,4.0,2.0,2.0,1,0,0,0
99,1180358,124,50532,45,M,True,90.0,8.2,False,2.0,2.0,2.0,0,,,57.0,1.0,50,,,2.0,13.0,6.0,4.0,1.0,2.0,,0,0,0,0
100,1180358,124,311520,77,M,True,90.0,7,False,4.0,2.0,,0,,,39.0,1.0,33,,,,18.0,6.0,5.0,,5.0,3.0,1,0,0,0
101,1180358,124,10311,10,M,True,80.0,8.3,False,,,,0,2.0,,62.0,6.0,59,1.0,,,6.0,3.0,1.0,1.0,1.0,,0,0,0,0
102,1180358,124,13708,21,M,True,90.0,7.2,False,3.0,2.0,,0,,,41.0,2.0,34,,,1.0,12.0,6.0,6.0,2.0,3.0,,0,0,0,0
103,1180358,124,13523,14,F,True,89.0,7,False,4.0,3.0,,0,,,24.0,3.0,18,,,,4.0,1.0,1.0,,1.0,,0,0,0,0
104,1180358,124,865,90,M,False,32.0,6.9,False,,,,0,,,21.0,1.0,15,,,1.0,9.0,5.0,4.0,3.0,,1.0,0,0,0,0
105,1180358,124,297522,9,F,False,32.0,6.9,False,2.0,1.0,,0,,,7.0,,7,1.0,,,9.0,4.0,3.0,1.0,2.0,,0,0,0,0
106,1180358,124,306581,13,D,False,10.0,6.7,False,,,,0,,,9.0,,9,,,,,,,,,,0,0,0,0
107,1180358,124,414358,19,F,False,8.0,6.5,False,,,,0,,,1.0,,,,,,3.0,1.0,1.0,,,,0,0,0,0
108,1180358,124,10408,27,G,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
109,1180358,124,9908,25,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
110,1180358,124,9874,23,D,False,,,False,,,,0,,,,,,,,,,,,,,,1,0,0,0
111,1180358,124,9905,6,D,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
112,1180358,124,363323,5,M,False,,,False,,,,0,,,,,,,,,,,,,,,0,0,0,0
